"ID","CustomerCode","ProductCode","Month","ProductCost","DistributionCost","SalesCommission"
1,"1000","00042","200901",445.7625,53.88,125.28
3,"1306","00042","200901",643.875,78.66,182.98
4,"5404","00049","200901",95.6625,22.9918,52.8
5,"6028","01093","200901",192.75,19.6,36.48
6,"5103","00049","200901",175.3875,40.2914,92.54
7,"7300","00049","200901",366.7125,91.9876,211.2
8,"6018","00049","200901",159.45,28.7448,66
9,"4900","00049","200901",159.45,28.8461,66.24
10,"1724","00042","200901",594.35,72.56,168.76
11,"0602","00019","200901",351.7375,41.62,96.76
12,"0600","00042","200901",396.2375,36,83.72
13,"5600","00049","200901",79.7125,15.3346,35.2
15,"7708","00049","200901",478.35,86.2345,198
16,"1734","00042","200901",891.5375,102.74,238.92
17,"0610","00042","200901",1783.0625,167.82,390.34
18,"1717","00049","200901",79.725,20.9053,48
19,"0610","01093","200901",96.375,8.78,16.32
20,"2700","00033","200901",524.675,52.64,122.4
21,"7001","00049","200901",223.2125,49.4679,113.56
22,"7001","00029","200901",59.85,15.38,35.76
23,"0610","00049","200901",239.175,42.1956,96.92
24,"0610","00041","200901",129.325,18,41.86
26,"1713","01467","200901",161.45,6.26,14.54
27,"4600","00049","200901",510.225,111.1508,255.2
28,"0601","00042","200901",2451.7125,281.4,654.38
29,"0601","00049","200901",558.05,126.4854,290.46
30,"1803","00049","200901",637.775,148.8493,341.76
31,"5501","00049","200901",287,56.5174,129.8
32,"0604","00042","200901",850.2625,79.14,184.12
33,"2803","00033","200901",534.775,52.64,122.4
34,"1700","00049","200901",271.0625,66.2205,152.06
35,"7900","00042","200901",247.65,30.96,72
36,"1709","00049","200901",191.325,49.1235,112.8
38,"1807","00049","200901",127.55,32.614,74.88
39,"2700","00042","200901",1684.0125,152.78,355.3
40,"1745","00049","200901",788.7135,825.5874,316.8899
41,"1801","01105","200901",269.8625,18.58,43.2
42,"0804","00042","200901",569.5875,63.9,148.56
43,"1701","01105","200901",299.85,41.28,96
44,"2701","01105","200901",539.725,46.44,108
45,"2700","00049","200901",175.3875,40.2914,92.54
46,"7605","00049","200901",95.6625,22.9918,52.8
47,"3207","00017","200901",648.9625,52,120.96
49,"3303","00041","200901",201.175,53.88,125.28
50,"0701","00042","200901",495.3,45,104.64
51,"1002","00049","200901",79.725,17.2388,39.6
52,"1002","00029","200901",76.95,17.5,40.68
53,"6012","00017","200901",231.7625,13,30.24
54,"7705","00042","200901",1436.3625,165.18,384.2
55,"3300","00049","200901",255.1125,91.9876,211.2
56,"3204","00049","200901",95.6625,22.9918,52.8
57,"1201","00042","200901",247.65,35.9,83.52
58,"6003","00017","200901",231.7625,13,30.24
59,"1201","00049","200901",159.45,45.9837,105.6
60,"3008","00049","200901",79.725,19.1632,44
62,"2000","00029","200901",68.4,22.3,51.84
63,"2000","00049","200901",159.45,38.448,88.32
64,"1305","00049","200901",95.6625,22.9918,52.8
65,"7100","00049","200901",797.2125,167.4048,384.38
66,"3402","01097","200901",136.8,30.96,72
67,"3301","00029","200901",205.2,70.52,164
68,"3301","00049","200901",589.9375,126.3842,290.2
69,"3402","01092","200901",298.2,23.856,44.73
70,"4001","00049","200901",255.1,61.3385,140.8
71,"6013","00803","200901",330.1375,21.98,40.9
72,"6013","00017","200901",370.825,17.32,40.32
74,"3900","00049","200901",334.8375,81.2108,186.48
75,"6013","00022","200901",217.1375,18.06,42
76,"4100","00049","200901",605.8875,142.5088,327.22
77,"2407","00049","200901",446.45,126.4854,290.4
78,"3900","00579","200901",84.2,20.34,47.28
79,"6013","00021","200901",182.0625,14.04,32.64
80,"6013","00049","200901",111.6125,16.0842,36.96
81,"1728","00049","200901",95.6625,23.2147,53.28
82,"3202","00034","200901",605.325,82.56,192
83,"1725","00042","200901",272.4125,33.6,78.14
85,"3202","00033","200901",645.7625,82.56,192
86,"1600","00049","200901",79.725,19.5481,44.88
87,"1741","00042","200901",848.0739,589.4922,229.2676
88,"0402","00041","200901",158.05,25.08,58.36
89,"3207","00049","200901",669.675,157.9042,362.56
90,"4803","00049","200901",287,61.3183,140.8
91,"0400","00049","200901",287,69.7453,160.12
92,"3603","00042","200901",445.7625,53.88,125.28
93,"3201","00049","200901",908.85,217.6425,499.68
94,"3401","00049","200901",159.45,38.2657,87.84
95,"0407","00049","200901",175.3875,45.9837,105.6
97,"6603","00049","200901",95.6625,20.6825,47.52
98,"0402","00017","200901",208.575,15.98,37.16
99,"5200","00049","200901",271.0625,48.8804,112.2
100,"1207","00049","200901",255.1125,60.7916,139.54
101,"5200","00042","200901",396.2375,48.86,113.66
102,"0900","00049","200901",749.3875,174.5556,400.76
103,"1804","00049","200901",318.9,78.6179,180.48
104,"7001","00041","200901",143.7,29.62,48.22
105,"1804","00042","200901",596.4125,70.4,163.68
106,"5403","00029","200901",102.6,23.32,54.24
108,"0900","00042","200901",2674.5875,330.44,768.38
109,"1501","00049","200901",175.3875,45.3557,104.16
110,"1720","00042","200901",718.175,88.1,204.88
111,"1720","01105","200901",564.7125,66.1,153.68
112,"3006","00049","200901",239.175,51.5138,118.32
113,"3605","00029","200901",51.3,15.48,36
114,"3305","00034","200901",428.7625,52.64,122.4
115,"1720","00803","200901",363.1625,32.8,61.04
116,"3305","00049","200901",159.45,34.4979,79.2
117,"3205","00042","200901",2575.55,268.32,624
118,"7500","00049","200901",223.2125,65.1671,149.6
119,"3803","00029","200901",68.4,15.48,36
121,"3403","00049","200901",111.6125,20.1963,46.36
122,"8405","00049","200901",95.6625,21.432,68.94
123,"8405","00029","200901",82.075,23.12,75.26
124,"3104","00049","200901",239.1625,57.4897,132
125,"0611","00033","200901",403.6,43.86,102
126,"1902","00049","200901",669.65,155.919,357.96
127,"6025","00049","200901",95.6625,23.4577,53.86
128,"0606","00042","200901",1770.675,191.64,445.7
129,"0500","00049","200901",111.6125,26.942,61.82
130,"3501","00029","200901",57.7125,11.62,27
131,"1401","00049","200901",95.6625,20.6825,47.52
133,"1305","00042","200901",346.7,36.64,85.18
134,"1203","00049","200901",95.6625,23.4577,53.86
135,"0014","00049","200901",95.6625,22.9918,52.8
