"ID","CustomerCode","ProductCode","Month","SalesQuantity","GrossValue","NetValue"
1,"1000","00042","200901",216,1252.8,626.4
3,"1306","00042","200901",312,1809.6,914.88
4,"5404","00049","200901",144,528,263.99
5,"6028","01093","200901",300,760,228
6,"5103","00049","200901",264,968,462.72
7,"7300","00049","200901",552,2024,1055.98
8,"6018","00049","200901",240,880,330
9,"4900","00049","200901",240,880,331.2
10,"1724","00042","200901",288,1670.4,843.84
11,"0602","00019","200901",300,1240,483.82
12,"0600","00042","200901",192,1113.6,418.56
13,"5600","00049","200901",120,440,175.99
15,"7708","00049","200901",720,2640,990
16,"1734","00042","200901",432,2505.6,1194.6
17,"0610","00042","200901",864,5011.2,1951.65
18,"1717","00049","200901",120,440,240
19,"0610","01093","200901",150,380,102
20,"2700","00033","200901",156,1768,611.98
21,"7001","00049","200901",336,1232,567.84
22,"7001","00029","200901",140,420,178.8
23,"0610","00049","200901",360,1320,484.56
24,"0610","00041","200901",108,626.4,209.27
26,"1713","01467","200901",108,648,72.72
27,"4600","00049","200901",768,2816,1275.98
28,"0601","00042","200901",1188,6890.4,3271.9
29,"0601","00049","200901",840,3080,1452.24
30,"1803","00049","200901",960,3520,1708.79
31,"5501","00049","200901",432,1584,648.96
32,"0604","00042","200901",412,2389.6,920.64
33,"2803","00033","200901",159,1802,611.99
34,"1700","00049","200901",408,1496,760.3
35,"7900","00042","200901",120,696,360
36,"1709","00049","200901",288,1056,563.99
38,"1807","00049","200901",192,704,374.4
39,"2700","00042","200901",816,4732.8,1776.48
40,"1745","00049","200901",1469,2929.6889,2279.4645
41,"1801","01105","200901",108,720,216
42,"0804","00042","200901",276,1600.8,742.8
43,"1701","01105","200901",120,800,480
44,"2701","01105","200901",216,1440,540
45,"2700","00049","200901",264,968,462.72
46,"7605","00049","200901",144,528,263.99
47,"3207","00017","200901",336,1411.2,604.8
49,"3303","00041","200901",168,974.4,626.38
50,"0701","00042","200901",240,1392,523.2
51,"1002","00049","200901",120,440,198
52,"1002","00029","200901",180,540,203.4
53,"6012","00017","200901",120,504,151.2
54,"7705","00042","200901",696,4036.8,1920.96
55,"3300","00049","200901",384,1408,1056
56,"3204","00049","200901",144,528,263.99
57,"1201","00042","200901",120,696,417.6
58,"6003","00017","200901",120,504,151.2
59,"1201","00049","200901",240,880,528
60,"3008","00049","200901",120,440,219.99
62,"2000","00029","200901",160,480,259.2
63,"2000","00049","200901",240,880,441.6
64,"1305","00049","200901",144,528,263.99
65,"7100","00049","200901",1200,4400,1921.92
66,"3402","01097","200901",320,960,360
67,"3301","00029","200901",480,1440,820
68,"3301","00049","200901",888,3256,1451.04
69,"3402","01092","200901",240,608,1520
70,"4001","00049","200901",384,1408,703.98
71,"6013","00803","200901",120,680,255.6
72,"6013","00017","200901",192,806.4,201.6
74,"3900","00049","200901",504,1848,932.4
75,"6013","00022","200901",180,840,209.98
76,"4100","00049","200901",912,3344,1636.07
77,"2407","00049","200901",672,2464,1451.98
78,"3900","00579","200901",120,464,236.4
79,"6013","00021","200901",144,652.8,163.19
80,"6013","00049","200901",168,616,184.8
81,"1728","00049","200901",144,528,266.4
82,"3202","00034","200901",192,2176,960
83,"1725","00042","200901",132,765.6,390.72
85,"3202","00033","200901",192,2176,960
86,"1600","00049","200901",120,440,224.4
87,"1741","00042","200901",508,1604.1583,1649.1365
88,"0402","00041","200901",132,765.6,291.72
89,"3207","00049","200901",1008,3696,1812.75
90,"4803","00049","200901",432,1584,703.99
91,"0400","00049","200901",432,1584,800.55
92,"3603","00042","200901",216,1252.8,626.4
93,"3201","00049","200901",1368,5016,2498.37
94,"3401","00049","200901",240,880,439.2
95,"0407","00049","200901",264,968,527.99
97,"6603","00049","200901",144,528,237.6
98,"0402","00017","200901",108,453.6,185.76
99,"5200","00049","200901",408,1496,561
100,"1207","00049","200901",384,1408,697.68
101,"5200","00042","200901",192,1113.6,568.32
102,"0900","00049","200901",1128,4136,2003.76
103,"1804","00049","200901",480,1760,902.4
104,"7001","00041","200901",120,696,344.4
105,"1804","00042","200901",289,1676.2,818.38
106,"5403","00029","200901",240,720,271.2
108,"0900","00042","200901",1296,7516.8,3841.92
109,"1501","00049","200901",264,968,520.8
110,"1720","00042","200901",348,2018.4,1024.32
111,"1720","01105","200901",226,1506.6667,768.4
112,"3006","00049","200901",360,1320,591.6
113,"3605","00029","200901",120,360,180
114,"3305","00034","200901",136,1541.3333,612
115,"1720","00803","200901",132,748,381.48
116,"3305","00049","200901",240,880,396
117,"3205","00042","200901",1248,7238.4,3120
118,"7500","00049","200901",336,1232,747.99
119,"3803","00029","200901",160,480,180
121,"3403","00049","200901",168,616,231.84
122,"8405","00049","200901",144,528,246.24
123,"8405","00029","200901",192,576,268.8
124,"3104","00049","200901",360,1320,659.98
125,"0611","00033","200901",120,1360,510
126,"1902","00049","200901",1008,3696,1789.92
127,"6025","00049","200901",144,528,269.28
128,"0606","00042","200901",858,4976.4,2228.51
129,"0500","00049","200901",168,616,309.12
130,"3501","00029","200901",135,405,135
131,"1401","00049","200901",144,528,237.6
133,"1305","00042","200901",168,974.4,425.94
134,"1203","00049","200901",144,528,269.28
135,"0014","00049","200901",144,528,263.99
136,"3308","00049","200901",528,1936,1121.99
137,"7701","00049","200901",288,1056,475.2
138,"0611","00049","200901",120,440,240
139,"2702","00042","200901",696,4036.8,2255.04
140,"0615","01093","200901",251,635.8667,105.44
141,"3206","00033","200901",108,1224,611.99
142,"0044","00029","200901",753,1229.2401,710.8517
144,"0044","00042","200901",678,2138.8778,1236.882
145,"2406","00041","200901",432,2505.6,939.6
146,"1303","00042","200901",396,2296.8,1218.71
147,"3206","00041","200901",600,3480,1322.36
148,"0044","00033","200901",565,3482.847,2014.0799
149,"3206","00049","200901",144,528,396
150,"8607","00049","200901",480,1760,820.8
151,"8607","00029","200901",240,720,336
152,"7703","00049","200901",144,528,263.99
153,"2900","00049","200901",360,1320,546
154,"2900","00033","200901",108,1224,550.8
156,"7902","00049","200901",288,1056,397.44
157,"0808","00050","200901",168,616,307.44
158,"0615","00049","200901",336,1232,712.18
159,"0808","00049","200901",384,1408,703.19
160,"7520","00022","200901",192,896,336
161,"0807","00049","200901",336,1232,463.08
162,"1722","00049","200901",264,968,488.4
163,"6600","00049","200901",144,528,263.99
164,"0616","00042","200901",276,1600.8,730.79
165,"1304","00029","200901",120,360,216
167,"1306","00049","200901",384,1408,712.79
168,"8004","00049","200901",192,704,264.96
169,"0612","00042","200901",382,2215.6,862.76
170,"1100","00042","200901",1488,8630.4,4616.8
171,"8004","00042","200901",144,835.2,417.6
172,"7518","00049","200901",312,1144,571.98
173,"5201","00029","200901",160,480,288
174,"0005","01467","200901",108,648,302.4
175,"5201","01093","200901",144,364.8,136.8
176,"0809","00042","200901",336,1948.8,974.4
177,"7519","00042","200901",120,696,313.2
178,"2703","00042","200901",288,1670.4,880.31
180,"3403","00041","200901",108,626.4,313.2
181,"3405","00049","200901",288,1056,527.04
182,"1708","00049","200901",240,880,448.8
183,"1100","00049","200901",1416,5192,2532.48
184,"0008","00049","200901",192,704,351.99
185,"3205","00029","200901",320,960,360
186,"2407","00029","200901",530,1590,980
187,"3205","00041","200901",720,4176,696
188,"3802","00049","200901",240,880,444.39
189,"1103","00579","200901",168,649.6,330.96
190,"0607","00042","200901",240,1392,696
192,"7704","00049","200901",144,528,263.99
193,"8100","00049","200901",792,2904,1256.14
194,"6009","00049","200901",192,704,264
195,"1712","00049","200901",288,1056,541.2
196,"1714","00049","200901",240,880,444
197,"1713","00041","200901",240,1392,527.4
198,"1720","00029","200901",212,636,306
199,"0800","00029","200901",324,972,331.29
200,"0800","00042","200901",240,1392,688.8
201,"1307","00042","200901",432,2505.6,1215.36
203,"4908","00049","200901",120,440,224.4
204,"6024","00049","200901",192,704,264
205,"0600","00049","200901",120,440,210
206,"4601","00049","200901",624,2288,1055.97
207,"3307","00042","200901",348,2018.4,1009.2
208,"0702","00049","200901",192,704,370.56
209,"0702","00042","200901",169,980.2,512.39
210,"0606","00049","200901",696,2552,1133.28
211,"3902","00029","200901",400,1200,648
212,"3902","00049","200901",504,1848,923.11
213,"3002","00029","200901",240,720,271.2
215,"0005","00049","200901",288,1056,396
216,"0700","01093","200901",111,281.2,96.99
217,"8605","00029","200901",240,720,336
