"ID","CustomerCode","ProductCode","Month","BudgetQuantity","BudgetNetValue","BudgetMarginPercent"
1,"6001","00049","201101",165,170.202,0.014884
3,"5103","00049","201101",137,211.4292,0.040939
4,"7300","00049","201101",879,1127.1138,0.054913
5,"6018","00049","201101",851,845.7093,0.081983
6,"4900","00049","201101",330,317.1439,0.010867
7,"1724","00042","201101",136,273.8249,0.058817
8,"0600","00042","201101",545,1223.9881,0.03141
9,"5600","00049","201101",220,281.8981,0.013739
10,"4102","00049","201101",165,173.4362,0.015418
11,"1734","00042","201101",163,265.6914,0.000723
12,"0610","00042","201101",842,1430.7273,0.006112
13,"1717","00049","201101",165,215.4391,0.010674
15,"0610","00049","201101",165,158.5719,0.005434
16,"0610","00041","201101",136,197.0093,0.005793
17,"6004","00049","201101",412,475.7158,0.021688
18,"4600","00049","201101",165,211.4216,0.010304
19,"0601","00042","201101",408,749.3464,0.035732
20,"0601","00049","201101",330,357.437,0.032586
21,"1803","00049","201101",275,328.0798,0.051663
22,"5501","00049","201101",549,425.5203,0.026162
23,"0604","00042","201101",599,991.365,0.001963
24,"2803","00033","201101",683,2334.1833,0.109433
26,"7900","00042","201101",123,307.443,0.010016
27,"1709","00049","201101",714,824.7563,0.037612
28,"1807","00049","201101",604,890.19,0.048379
29,"2700","00042","201101",191,314.4844,0.000514
30,"2701","01105","201101",545,727.5208,-0.0207
31,"2700","00049","201101",330,465.1367,0.024506
32,"7605","00049","201101",357,317.1363,0.009693
33,"3303","00041","201101",272,524.1532,0.081491
34,"1002","00049","201101",137,143.0628,0.012606
35,"6012","00017","201101",226,146.3189,-0.049508
36,"7705","00042","201101",408,732.007,0.006693
38,"3204","00049","201101",384,493.3197,0.024961
39,"1201","00042","201101",272,484.5289,0.02134
40,"1201","00049","201101",384,450.9047,0.043621
41,"3008","00049","201101",384,370.0012,0.013162
42,"2404","00049","201101",357,457.3069,0.023105
43,"2000","00049","201101",275,370.0012,0.018799
44,"1305","00049","201101",165,215.4391,0.011082
45,"7100","00049","201101",1208,1531.7683,0.073846
46,"3402","01097","201101",137,345.1567,0.048743
47,"3301","00049","201101",439,487.4408,0.045241
49,"4001","00049","201101",549,567.342,0.049613
50,"3900","00049","201101",384,498.3168,0.024505
51,"3900","00579","201101",165,219.8135,0.010745
52,"1728","00049","201101",412,513.9918,0.29355
53,"1725","00042","201101",340,657.1797,0.116771
54,"3202","00049","201101",302,287.5869,0.023244
55,"1741","00042","201101",1378,2574.9058,0.012521
